Species_TTOL	MED	rest_of_brain	BOD
Bettongia_gaimardi	2.963504	4.04663551459762	1.86328760196422
Bettongia_penicillata	2.882126	3.98021273823091	1.86328760196422
Burramys_parvus	2.023664	2.92464113314859	1.86328760196422
Cercartetus_nanus	1.827369	2.67775290596171	1.86328760196422
Dactylopsila_trivirgata	2.634779	3.76646475332113	1.86328760196422
Dasycercus_cristicauda	2.304921	3.16814378922862	1.86328760196422
Dasyuroides_byrnei	2.349278	3.1709361619783	1.86328760196422
Dasyurus_geoffroii	2.81961	3.70221513935253	1.86328760196422
Dasyurus_hallucatus	2.555699	3.45874340368618	1.86328760196422
Dendrolagus_lumholtzi	3.220892	4.32056441398414	1.86328760196422
Distoechurus_pennatus	2.067443	2.99668674974598	1.86328760196422
Dorcopsis	3.129368	4.18833195300086	1.86328760196422
Echymipera_kalubu	2.626853	3.52847956017657	1.86328760196422
Gymnobelideus_leadbeateri	2.300813	3.34769853893654	1.86328760196422
Hypsiprymnodon_moschatus	2.639486	3.74212014161771	1.86328760196422
Isoodon_macrourus	2.656769	3.58290385753117	1.86328760196422
Isoodon_obesulus_obesulus	2.677424	3.62554911049539	1.86328760196422
Osphranter_antilopinus	3.603469	4.71459609027679	1.86328760196422
Macropus_giganteus	3.580469	4.77506983526938	1.86328760196422
Notamacropus_irma	3.26529	4.36841530467472	1.86328760196422
Notamacropus_parma	3.11059	4.20117855029655	1.86328760196422
Notamacropus_parryi	3.404834	4.51970786965636	1.86328760196422
Osphranter_robustus	3.515344	4.66347772236744	1.86328760196422
Osphranter_rufus	3.362963	4.6959083965357	1.86328760196422
Thylamys_pallidior	1.853698	2.76345797589405	1.86328760196422
Marmosops_impavidus	2.073718	3.05568408388292	1.86328760196422
Monodelphis_brevicaudata	2.05038	2.94537022663038	1.86328760196422
Notoryctes_typhlops	1.818226	2.91376083971985	1.86328760196422
Petauroides_volans	2.697752	3.62032345471659	1.86328760196422
Petaurus_australis	2.634578	3.77024778429207	1.86328760196422
Petaurus_breviceps	2.334856	3.32467344517594	1.86328760196422
Petaurus_norfolcensis	2.429752	3.45766979672993	1.86328760196422
Petrogale_inornata	3.138934	4.23497248958282	1.86328760196422
Petrogale_lateralis	3.045714	4.16786355239828	1.86328760196422
Petrogale_penicillata	3.242044	4.31879823891567	1.86328760196422
Petrogale_purpureicollis	3.137987	4.24652097310723	1.86328760196422
Petropseudes_dahli	2.800098	3.69722055952986	1.86328760196422
Phascolarctos_cinereus	3.219323	4.22355030391757	1.86328760196422
Planigale_ingrami	1.332438	1.97840863192174	1.86328760196422
Planigale_maculata	1.60206	2.30272041723985	1.86328760196422
Potorous_tridactylus_tridactylus	2.89304	3.99808497676137	1.86328760196422
Pseudochirulus_canescens	2.424718	3.33597913853393	1.86328760196422
Pseudochirulus_forbesi	2.542825	3.47922966682932	1.86328760196422
Sarcophilus_harrisii	3.161667	4.14834965764349	1.86328760196422
Sminthopsis_crassicaudata	1.700704	2.53750425778387	1.86328760196422
Sminthopsis_leucopus	1.866287	2.66164229549523	1.86328760196422
Phalanger_gymnotis	3.028164	4.06032757480693	1.86328760196422
Thylacinus_cynocephalus	3.716087	4.70915133299125	1.86328760196422
Thylogale_billardierii	3.266702	4.34805949126278	1.86328760196422
Thylogale_stigmatica	3.216166	4.25065668458073	1.86328760196422
Trichosurus_vulpecula	2.984752	4.00237325530746	1.86328760196422
Vombatus_ursinus	3.62995	4.68410274637518	1.86328760196422
Wallabia_bicolor	3.475235	4.55349934894676	1.86328760196422
Balionycteris_maculata	1.591	2.68604357258994	1.86328760196422
Casinycteris_argynnis	1.839	2.89835140151989	1.86328760196422
Chironax_melanocephalus	1.643	2.75718362381577	1.86328760196422
Cynopterus_brachyotis	1.833	2.966833649282	1.86328760196422
Cynopterus_horsfieldii	1.968	3.11468350641045	1.86328760196422
Cynopterus_sphinx	1.924	3.05354966776212	1.86328760196422
Dobsonia_inermis	2.238	3.40766797562694	1.86328760196422
Dobsonia_moluccensis	2.431	3.63531672034154	1.86328760196422
Dobsonia_praedatrix	2.286	3.45265177566025	1.86328760196422
Eidolon_helvum	2.437	3.60406636908379	1.86328760196422
Eonycteris_spelaea	1.981	3.09326062869164	1.86328760196422
Epomophorus_labiatus	2.061	3.17341455082117	1.86328760196422
Epomops_franqueti	2.241	3.3178958890353	1.86328760196422
Hypsignathus_monstrosus	2.451	3.51177917774895	1.86328760196422
Macroglossus_minimus	1.616	2.72492739657078	1.86328760196422
Megaerops_ecaudatus	1.732	2.87855040696948	1.86328760196422
Megaloglossus_woermanni	1.709	2.80962194180342	1.86328760196422
Melonycteris_melanops	1.92	3.08827988670424	1.86328760196422
Melonycteris_woodfordi	1.853	2.98478330621441	1.86328760196422
Epomophorus_pusillus	1.803	2.8916991691473	1.86328760196422
Myonycteris_torquata	1.915	3.04038415947288	1.86328760196422
Notopteris_macdonaldi	2.027	3.14143861060649	1.86328760196422
Nyctimene_albiventer	1.787	2.89166094946112	1.86328760196422
Nyctimene_robinsoni	1.923	3.06521908417013	1.86328760196422
Nyctimene_vizcaccia	1.851	2.97019608506253	1.86328760196422
Paranyctimene_raptor	1.713	2.83904237199348	1.86328760196422
Pteropus_alecto	2.593	3.82069860124938	1.86328760196422
Pteropus_conspicillatus	2.616	3.89493121910952	1.86328760196422
Pteropus_hypomelanus	2.502	3.69716131393364	1.86328760196422
Pteropus_lylei	2.513	3.75598421253182	1.86328760196422
Pteropus_neohibernicus	2.679	3.92848620624869	1.86328760196422
Pteropus_poliocephalus	2.635	3.83016987335255	1.86328760196422
Pteropus_samoensis	2.513	3.73626675041077	1.86328760196422
Pteropus_scapulatus	2.454	3.70549571470575	1.86328760196422
Pteropus_temminckii	2.436	3.66354900940771	1.86328760196422
Pteropus_tonganus	2.56	3.75825829746648	1.86328760196422
Pteropus_vampyrus	2.652	3.92972371176801	1.86328760196422
Rousettus_aegyptiacus	2.182	3.32486399626551	1.86328760196422
Rousettus_amplexicaudatus	2.042	3.1617898919156	1.86328760196422
Scotonycteris_zenkeri	1.748	2.8251361190744	1.86328760196422
Sphaerias_blanfordi	1.839	2.89058047078486	1.86328760196422
Syconycteris_australis	1.623	2.75449107699007	1.86328760196422
Anoura_caudifer	1.591	2.5806238378183	1.86328760196422
Anoura_geoffroyi	1.716	2.74657171798292	1.86328760196422
Ardops_nichollsi	1.696	2.72119019257957	1.86328760196422
Artibeus_cinereus	1.618	2.64696591916355	1.86328760196422
Artibeus_concolor	1.742	2.77277474031503	1.86328760196422
Artibeus_jamaicensis	1.923	2.98333261088124	1.86328760196422
Artibeus_lituratus	1.976	3.06496819373968	1.86328760196422
Aselliscus_stoliczkanus	1.356	2.14627742243429	1.86328760196422
Aselliscus_tricuspidatus	1.294	2.0993562087761	1.86328760196422
Brachyphylla_cavernarum	2.026	3.05292228999784	1.86328760196422
Cardioderma_cor	1.854	2.79992584642206	1.86328760196422
Carollia_perspicillata	1.691	2.71324648190518	1.86328760196422
Chalinolobus_gouldii	1.528	2.35195774032069	1.86328760196422
Chalinolobus_morio	1.447	2.24071974568802	1.86328760196422
Chiroderma_salvini	1.851	2.88624082329356	1.86328760196422
Chiroderma_trinitatum	1.66	2.70539048497075	1.86328760196422
Chiroderma_villosum	1.794	2.82351695180044	1.86328760196422
Choeroniscus_minor	1.547	2.5659450134905	1.86328760196422
Coleura_afra	1.52	2.38684133903795	1.86328760196422
Cormura_brevirostris	1.438	2.31547900333038	1.86328760196422
Craseonycteris_thonglongyai	1.127	1.91186407137902	1.86328760196422
Desmodus_rotundus	1.903	2.97496949473285	1.86328760196422
Diphylla_ecaudata	1.8	2.87975236516861	1.86328760196422
Emballonura_monticola	1.322	2.19689550326823	1.86328760196422
Emballonura_raffrayana	1.364	2.21750313113026	1.86328760196422
Eptesicus_brasiliensis	1.417	2.27704088235613	1.86328760196422
Eptesicus_fuscus_bahamensis	1.493	2.3513653086034	1.86328760196422
Eumops_auripendulus	1.904	2.75999624802448	1.86328760196422
Eumops_glaucinus	1.915	2.79101278730558	1.86328760196422
Furipterus_horrens	1.212	2.07959239815975	1.86328760196422
Glischropus_tylopus	1.212	1.97312302120491	1.86328760196422
Glossophaga_longirostris	1.624	2.6169266719764	1.86328760196422
Glossophaga_soricina	1.579	2.57354501835856	1.86328760196422
Harpiocephalus_harpia	1.634	2.62086344715862	1.86328760196422
Hesperoptenus_blanfordi	1.394	2.16984821507198	1.86328760196422
Hipposideros_armiger	2.024	2.87560056473481	1.86328760196422
Hipposideros_ater	1.455	2.30545128539469	1.86328760196422
Hipposideros_caffer	1.592	2.4627759440208	1.86328760196422
Macronycteris_commersoni	1.937	2.84697711567035	1.86328760196422
Hipposideros_diadema	1.943	2.82568898250015	1.86328760196422
Hipposideros_fulvus	1.529	2.34735841257385	1.86328760196422
Hipposideros_lankadiva	1.968	2.83381440820857	1.86328760196422
Hipposideros_larvatus	1.703	2.59070379701993	1.86328760196422
Hipposideros_ridleyi	1.559	2.40319100137588	1.86328760196422
Hipposideros_speoris	1.62	2.42782469906196	1.86328760196422
Hipposideros_turpis	1.865	2.74970813235674	1.86328760196422
Ia_io	1.979	2.85693377655639	1.86328760196422
Kerivoula_papillosa	1.534	2.47004291344843	1.86328760196422
Lasiurus_borealis	1.369	2.20786055220101	1.86328760196422
Leptonycteris_curasoae	1.794	2.76007259430502	1.86328760196422
Leptonycteris_nivalis	1.748	2.74009904764629	1.86328760196422
Lonchophylla_mordax	1.656	2.61273847911539	1.86328760196422
Hsunycteris_thomasi	1.494	2.50023862095974	1.86328760196422
Lophostoma_silvicolum	1.935	2.85331808051172	1.86328760196422
Macroderma_gigas	2.271	3.20498065502424	1.86328760196422
Macrophyllum_macrophyllum	1.59	2.4790378028068	1.86328760196422
Megaderma_lyra	2.022	2.93241161841455	1.86328760196422
Megaderma_spasma	1.824	2.78365497627165	1.86328760196422
Mesophylla_macconnelli	1.524	2.5144416036305	1.86328760196422
Micronycteris_brachyotis	1.643	2.58328686142129	1.86328760196422
Micronycteris_megalotis	1.493	2.41295245824855	1.86328760196422
Micronycteris_minuta	1.453	2.43110917339505	1.86328760196422
Micronycteris_schmidtorum	1.479	2.46261324325241	1.86328760196422
Gardnerycteris_crenulatum	1.549	2.48743694137244	1.86328760196422
Miniopterus_australis	1.435	2.28796870242141	1.86328760196422
Miniopterus_inflatus	1.641	2.48807198431177	1.86328760196422
Miniopterus_magnater	1.619	2.4849865990346	1.86328760196422
Miniopterus_pusillus	1.456	2.31097785415854	1.86328760196422
Miniopterus_tristis	1.645	2.49587912679333	1.86328760196422
Molossus_molossus	1.629	2.47483774200244	1.86328760196422
Molossus_rufus	1.82	2.69716719929339	1.86328760196422
Monophyllus_plethodon	1.655	2.62023584937206	1.86328760196422
Mormoops_megalophylla	1.663	2.56247160047249	1.86328760196422
Murina_cyclotis	1.459	2.37139315447136	1.86328760196422
Murina_huttoni	1.431	2.38592275334146	1.86328760196422
Myotis_adversus	1.548	2.3772871201093	1.86328760196422
Myotis_albescens	1.258	2.07780309246655	1.86328760196422
Myotis_annectans	1.489	2.31710569964846	1.86328760196422
Myotis_bechsteinii	1.595	2.39586985328546	1.86328760196422
Myotis_bocagii	1.394	2.25339686523018	1.86328760196422
Myotis_dasycneme	1.693	2.46431986810657	1.86328760196422
Myotis_myotis	1.847	2.65907694339085	1.86328760196422
Myotis_nigricans	1.233	2.11100026230064	1.86328760196422
Myotis_siligorensis	1.185	1.98557890358024	1.86328760196422
Natalus_tumidirostris	1.425	2.36796538095518	1.86328760196422
Noctilio_albiventris	1.82	2.74963685311494	1.86328760196422
Noctilio_leporinus	2.095	3.04342425236468	1.86328760196422
Nyctalus_noctula	1.76	2.52928534798622	1.86328760196422
Nycteris_arge	1.612	2.51972165509131	1.86328760196422
Nycteris_grandis	1.905	2.82882341601125	1.86328760196422
Nycteris_hispida	1.484	2.43216548536531	1.86328760196422
Nycteris_javanica	1.744	2.65047090615567	1.86328760196422
Nycteris_macrotis	1.679	2.56570573628551	1.86328760196422
Nycteris_thebaica	1.598	2.4880134922472	1.86328760196422
Nyctophilus_geoffroyi	1.334	2.1954325071819	1.86328760196422
Otomops_martiensseni	1.952	2.85387267955123	1.86328760196422
Peropteryx_macrotis	1.307	2.18774408447669	1.86328760196422
Phylloderma_stenops	1.995	3.10305487853701	1.86328760196422
Phyllostomus_discolor	1.96	3.01289560068157	1.86328760196422
Phyllostomus_elongatus	1.963	2.91962973558399	1.86328760196422
Phyllostomus_hastatus	2.147	3.15775224544109	1.86328760196422
Pipistrellus_javanicus	1.26	2.04743835568333	1.86328760196422
Pipistrellus_tenuis	1.179	1.94445839594312	1.86328760196422
Afronycteris_nana	1.182	1.97624949883145	1.86328760196422
Hypsugo_pulveratus	1.318	2.12583275320563	1.86328760196422
Perimyotis_subflavus	1.262	2.0689992385851	1.86328760196422
Pteronotus_gymnonotus	1.648	2.50919392843789	1.86328760196422
Pteronotus_parnellii_mesoamericanus	1.797	2.71076396835588	1.86328760196422
Pteronotus_personatus	1.458	2.33437416842607	1.86328760196422
Rhinolophus_cornutus	1.377	2.26307067478927	1.86328760196422
Rhinolophus_eloquens	1.699	2.58228368121921	1.86328760196422
Rhinolophus_hipposideros	1.362	2.14741999328989	1.86328760196422
Rhinolophus_landeri	1.548	2.41927248180996	1.86328760196422
Rhinolophus_lepidus	1.403	2.24246038366786	1.86328760196422
Rhinolophus_luctus	1.829	2.76563752486781	1.86328760196422
Rhinolophus_macrotis	1.456	2.29216841823355	1.86328760196422
Rhinolophus_malayanus	1.436	2.28065583157794	1.86328760196422
Rhinolophus_megaphyllus	1.505	2.39284327871508	1.86328760196422
Rhinolophus_pearsonii	1.59	2.49680535567541	1.86328760196422
Rhinolophus_pusillus	1.336	2.19036275728536	1.86328760196422
Rhinolophus_trifoliatus	1.631	2.51948592306197	1.86328760196422
Rhinolophus_yunnanensis	1.712	2.61598611233896	1.86328760196422
Rhinonicteris_aurantia	1.493	2.36980993185743	1.86328760196422
Rhinophylla_pumilio	1.502	2.52389337701925	1.86328760196422
Rhinopoma_hardwickii	1.554	2.41517493551946	1.86328760196422
Rhinopoma_microphyllum	1.71	2.56167523073907	1.86328760196422
Rhogeessa_parvula	1.238	2.02540404611476	1.86328760196422
Rhynchonycteris_naso	1.196	2.04732050651951	1.86328760196422
Saccopteryx_bilineata	1.435	2.33483311530367	1.86328760196422
Saccopteryx_canescens	1.238	2.08934484317686	1.86328760196422
Saccopteryx_leptura	1.324	2.18322541361085	1.86328760196422
Scotomanes_ornatus	1.74	2.55494722650546	1.86328760196422
Scotophilus_dinganii	1.765	2.6152095371468	1.86328760196422
Scotophilus_kuhlii	1.688	2.50605597481635	1.86328760196422
Sphaeronycteris_toxophyllum	1.823	2.69540272673135	1.86328760196422
Sturnira_lilium	1.707	2.7664442150746	1.86328760196422
Sturnira_ludovici	1.802	2.79971581818209	1.86328760196422
Sturnira_tildae	1.734	2.82056767486967	1.86328760196422
Tadarida_aegyptiaca	1.732	2.56759514736225	1.86328760196422
Taphozous_australis	1.818	2.68911434548403	1.86328760196422
Taphozous_hildegardeae	1.836	2.71134274302204	1.86328760196422
Taphozous_mauritianus	1.848	2.71797961523504	1.86328760196422
Taphozous_melanopogon	1.826	2.70480831622297	1.86328760196422
Tonatia_bidens	1.897	2.87212442061372	1.86328760196422
Lophostoma_schulzi	1.775	2.67681030271887	1.86328760196422
Trachops_cirrhosus	1.989	2.97719852358353	1.86328760196422
Triaenops_persicus	1.588	2.41026109600416	1.86328760196422
Tylonycteris_pachypus	1.173	1.87843900376487	1.86328760196422
Tylonycteris_robustula	1.297	2.03440793493338	1.86328760196422
Uroderma_bilobatum	1.707	2.76341624316696	1.86328760196422
Vampyressa_pusilla	1.511	2.55572901399533	1.86328760196422
Vampyrum_spectrum	2.368	3.38883839645361	1.86328760196422
Alouatta_seniculus	3.202	4.69064476860801	1.86328760196422
Aotus_trivirgatus	2.836	4.20956514451613	1.86328760196422
Ateles_geoffroyi	3.263	5.00423671459412	1.86328760196422
Avahi_laniger	2.743	3.99079117597203	1.86328760196422
Plecturocebus_moloch	2.896	4.24999973790912	1.86328760196422
Callimico_goeldii	2.663	4.02141427425862	1.86328760196422
Callithrix_jacchus	2.502	3.86010428447601	1.86328760196422
Cebuella_pygmaea	2.303	3.63358773263483	1.86328760196422
Cebus_albifrons	3.24	4.8258408678735	1.86328760196422
Cercopithecus_ascanius	3.213	4.80297404128273	1.86328760196422
Cercopithecus_mitis_mitis	3.301	4.84835244065239	1.86328760196422
Cheirogaleus_major	2.582	3.80396492768725	1.86328760196422
Cheirogaleus_medius	2.305	3.4708780230274	1.86328760196422
Daubentonia_madagascariensis	3.181	4.6294722319675	1.86328760196422
Erythrocebus_patas	3.418	5.01330305301563	1.86328760196422
Eulemur_fulvus_fulvus	2.959	4.34468914865517	1.86328760196422
Galago_senegalensis	2.405	3.65384583826705	1.86328760196422
Galagoides_demidoff	2.228	3.50526524207999	1.86328760196422
Gorilla_gorilla	3.876	5.67214160105073	1.86328760196422
Homo_sapiens	3.983	6.09769523952942	1.86328760196422
Hylobates_lar	3.352	4.98887970833346	1.86328760196422
Indri_indri	3.128	4.55944787748954	1.86328760196422
Lagothrix_lagotricha	3.324	4.980177796679	1.86328760196422
Lepilemur_mustelinus	2.652	3.85550540645094	1.86328760196422
Lophocebus_albigena	3.433	4.9893093148895	1.86328760196422
Loris_tardigradus_tardigradus	2.367	3.79701647977618	1.86328760196422
Macaca_mulatta	3.299	4.94427327976376	1.86328760196422
Microcebus_murinus	1.996	3.22499777943092	1.86328760196422
Miopithecus_talapoin	3.015	4.57720824492106	1.86328760196422
Nasalis_larvatus	3.469	4.97211427746941	1.86328760196422
Nycticebus_coucang	2.723	4.07016900764897	1.86328760196422
Otolemur_crassicaudatus	2.732	3.98509131950917	1.86328760196422
Pan_troglodytes	3.765	5.58232825551133	1.86328760196422
Papio_cynocephalus	3.724	5.28121407692444	1.86328760196422
Perodicticus_potto	2.833	4.12079897970986	1.86328760196422
Pithecia_monachus	3.004	4.51688705271499	1.86328760196422
Piliocolobus_badius	3.303	4.86832778778568	1.86328760196422
Propithecus_verreauxi	3.087	4.40135338583513	1.86328760196422
Pygathrix_nemaeus	3.344	4.86047259819674	1.86328760196422
Saguinus_midas	2.631	3.98108200720884	1.86328760196422
Saguinus_oedipus	2.616	3.97903342592802	1.86328760196422
Saimiri_sciureus_sciureus	2.859	4.35321967494396	1.86328760196422
Tarsius_tarsier	2.316	3.53020840861181	1.86328760196422
Varecia_variegata	3.152	4.47260429620756	1.86328760196422
