Species_TTOL	SCH	rest_of_brain	BOD
Epomophorus_labiatus	1.733	3.17341455082117	1.806
Epomops_franqueti	1.915	3.3178958890353	2.072
Hypsignathus_monstrosus	2.057	3.51177917774895	2.491
Macroglossus_minimus	1.358	2.72492739657078	1.164
Megaerops_ecaudatus	1.562	2.87855040696948	1.38
Megaloglossus_woermanni	1.5	2.80962194180342	1.253
Melonycteris_melanops	1.709	3.08827988670424	1.675
Melonycteris_woodfordi	1.622	2.98478330621441	1.549
Epomophorus_pusillus	1.471	2.8916991691473	1.4
Myonycteris_torquata	1.673	3.04038415947288	1.561
Notopteris_macdonaldi	1.718	3.14143861060649	1.841
Nyctimene_albiventer	1.474	2.89166094946112	1.473
Nyctimene_robinsoni	1.641	3.06521908417013	1.673
Nyctimene_vizcaccia	1.501	2.97019608506253	1.549
Paranyctimene_raptor	1.431	2.83904237199348	1.417
Pteropus_alecto	2.344	3.82069860124938	2.775
Pteropus_conspicillatus	2.416	3.89493121910952	2.875
Pteropus_hypomelanus	2.294	3.69716131393364	2.591
Pteropus_lylei	2.27	3.75598421253182	2.497
Pteropus_neohibernicus	2.452	3.92848620624869	2.924
Pteropus_poliocephalus	2.354	3.83016987335255	2.842
Pteropus_samoensis	2.335	3.73626675041077	2.491
Pteropus_scapulatus	2.31	3.70549571470575	2.574
Pteropus_temminckii	2.219	3.66354900940771	2.398
Pteropus_tonganus	2.303	3.75825829746648	2.652
Pteropus_vampyrus	2.47	3.92972371176801	3.027
Rousettus_aegyptiacus	1.919	3.32486399626551	2.111
Rousettus_amplexicaudatus	1.679	3.1617898919156	1.856
Scotonycteris_zenkeri	1.5	2.8251361190744	1.328
Sphaerias_blanfordi	1.526	2.89058047078486	1.47
Syconycteris_australis	1.386	2.75449107699007	1.207
Anoura_caudifer	1.196	2.5806238378183	1.025
Anoura_geoffroyi	1.382	2.74657171798292	1.204
Ardops_nichollsi	1.297	2.72119019257957	1.352
Artibeus_cinereus	1.301	2.64696591916355	1.1
Artibeus_concolor	1.403	2.77277474031503	1.288
Artibeus_jamaicensis	1.644	2.98333261088124	1.613
Artibeus_lituratus	1.695	3.06496819373968	1.748
Aselliscus_stoliczkanus	0.626	2.14627742243429	0.69
Aselliscus_tricuspidatus	0.644	2.0993562087761	0.643
Brachyphylla_cavernarum	1.566	3.05292228999784	1.648
Cardioderma_cor	1.356	2.79992584642206	1.415
Carollia_perspicillata	1.301	2.71324648190518	1.25
Chalinolobus_gouldii	0.854	2.35195774032069	1.068
Chalinolobus_morio	0.797	2.24071974568802	0.919
Chiroderma_salvini	1.441	2.88624082329356	1.417
Chiroderma_trinitatum	1.236	2.70539048497075	1.137
Chiroderma_villosum	1.358	2.82351695180044	1.394
Choeroniscus_minor	1.217	2.5659450134905	0.982
Coleura_afra	0.89	2.38684133903795	1.061
Cormura_brevirostris	0.791	2.31547900333038	0.914
Craseonycteris_thonglongyai	0.38	1.91186407137902	0.408
Desmodus_rotundus	1.501	2.97496949473285	1.56
Diphylla_ecaudata	1.365	2.87975236516861	1.49
Emballonura_monticola	0.643	2.19689550326823	0.724
Emballonura_raffrayana	0.719	2.21750313113026	0.771
Eptesicus_brasiliensis	0.794	2.27704088235613	0.964
Eptesicus_fuscus_bahamensis	0.992	2.3513653086034	1.134
Eumops_auripendulus	1.258	2.75999624802448	1.529
Eumops_glaucinus	1.365	2.79101278730558	1.562
Furipterus_horrens	0.575	2.07959239815975	0.535
Glischropus_tylopus	0.394	1.97312302120491	0.69
Glossophaga_longirostris	1.23	2.6169266719764	1.053
Glossophaga_soricina	1.173	2.57354501835856	0.996
Harpiocephalus_harpia	1.236	2.62086344715862	1.13
Hesperoptenus_blanfordi	0.613	2.16984821507198	0.863
Hipposideros_armiger	1.4	2.87560056473481	1.748
Hipposideros_ater	0.802	2.30545128539469	0.839
Hipposideros_caffer	0.955	2.4627759440208	1.041
Macronycteris_commersoni	1.427	2.84697711567035	1.997
Hipposideros_diadema	1.342	2.82568898250015	1.622
Hipposideros_fulvus	0.791	2.34735841257385	0.845
Hipposideros_lankadiva	1.38	2.83381440820857	1.686
Hipposideros_larvatus	1.057	2.59070379701993	1.312
Hipposideros_ridleyi	0.906	2.40319100137588	0.982
Hipposideros_speoris	0.86	2.42782469906196	1.061
Hipposideros_turpis	1.248	2.74970813235674	1.542
Ia_io	1.425	2.85693377655639	1.727
Kerivoula_papillosa	0.919	2.47004291344843	1.004
Lasiurus_borealis	0.663	2.20786055220101	0.892
Leptonycteris_curasoae	1.364	2.76007259430502	1.389
Leptonycteris_nivalis	1.35	2.74009904764629	1.358
Lonchophylla_mordax	1.193	2.61273847911539	1.029
Hsunycteris_thomasi	1.13	2.50023862095974	0.839
Lophostoma_silvicolum	1.262	2.85331808051172	1.509
Macroderma_gigas	1.687	3.20498065502424	2.078
Macrophyllum_macrophyllum	0.965	2.4790378028068	0.934
Megaderma_lyra	1.415	2.93241161841455	1.587
Megaderma_spasma	1.336	2.78365497627165	1.354
Mesophylla_macconnelli	1.13	2.5144416036305	0.875
Micronycteris_brachyotis	1.049	2.58328686142129	1.167
Micronycteris_megalotis	0.88	2.41295245824855	0.813
Micronycteris_minuta	0.955	2.43110917339505	0.839
Micronycteris_schmidtorum	0.957	2.46261324325241	0.892
Gardnerycteris_crenulatum	0.952	2.48743694137244	1.072
Miniopterus_australis	0.781	2.28796870242141	0.851
Miniopterus_inflatus	0.971	2.48807198431177	1.173
Miniopterus_magnater	0.903	2.4849865990346	1.176
Miniopterus_pusillus	0.798	2.31097785415854	0.934
Miniopterus_tristis	0.847	2.49587912679333	1.193
Molossus_molossus	0.938	2.47483774200244	1.137
Molossus_rufus	1.164	2.69716719929339	1.526
Monophyllus_plethodon	1.185	2.62023584937206	1.176
Mormoops_megalophylla	1.025	2.56247160047249	1.196
Murina_cyclotis	0.898	2.37139315447136	0.851
Murina_huttoni	0.874	2.38592275334146	0.944
Myotis_adversus	0.865	2.3772871201093	1.049
Myotis_albescens	0.574	2.07780309246655	0.602
Myotis_annectans	0.926	2.31710569964846	0.991
Myotis_bechsteinii	0.963	2.39586985328546	0.978
Myotis_bocagii	0.754	2.25339686523018	0.845
Myotis_dasycneme	1.049	2.46431986810657	1.176
Myotis_myotis	1.236	2.65907694339085	1.408
Myotis_nigricans	0.611	2.11100026230064	0.663
Myotis_siligorensis	0.486	1.98557890358024	0.539
Natalus_tumidirostris	0.934	2.36796538095518	0.839
Noctilio_albiventris	1.114	2.74963685311494	1.515
Noctilio_leporinus	1.444	3.04342425236468	1.763
Nyctalus_noctula	1.021	2.52928534798622	1.431
Nycteris_arge	0.942	2.51972165509131	1.025
Nycteris_grandis	1.236	2.82882341601125	1.474
Nycteris_hispida	0.906	2.43216548536531	0.892
Nycteris_javanica	1.013	2.65047090615567	1.265
Nycteris_macrotis	1.017	2.56570573628551	1.161
Nycteris_thebaica	0.925	2.4880134922472	0.949
Nyctophilus_geoffroyi	0.754	2.1954325071819	0.857
Otomops_martiensseni	1.316	2.85387267955123	1.618
Peropteryx_macrotis	0.789	2.18774408447669	0.748
Phylloderma_stenops	1.708	3.10305487853701	1.664
Phyllostomus_discolor	1.593	3.01289560068157	1.563
Phyllostomus_elongatus	1.401	2.91962973558399	1.652
Phyllostomus_hastatus	1.685	3.15775224544109	1.963
Pipistrellus_javanicus	0.56	2.04743835568333	0.653
Pipistrellus_tenuis	0.476	1.94445839594312	0.591
Afronycteris_nana	0.462	1.97624949883145	0.591
Hypsugo_pulveratus	0.688	2.12583275320563	0.724
Perimyotis_subflavus	0.658	2.0689992385851	0.724
Pteronotus_gymnonotus	0.949	2.50919392843789	1.134
Pteronotus_parnellii_mesoamericanus	1.134	2.71076396835588	1.305
Pteronotus_personatus	0.783	2.33437416842607	0.908
Rhinolophus_cornutus	0.802	2.26307067478927	0.82
Rhinolophus_eloquens	1.134	2.58228368121921	1.281
Rhinolophus_hipposideros	0.739	2.14741999328989	0.663
Rhinolophus_landeri	0.904	2.41927248180996	0.987
Rhinolophus_lepidus	0.775	2.24246038366786	0.778
Rhinolophus_luctus	1.332	2.76563752486781	1.516
Rhinolophus_macrotis	0.87	2.29216841823355	0.799
Rhinolophus_malayanus	0.772	2.28065583157794	0.806
Rhinolophus_megaphyllus	0.943	2.39284327871508	0.991
Rhinolophus_pearsonii	1.064	2.49680535567541	1.143
Rhinolophus_pusillus	0.719	2.19036275728536	0.672
Rhinolophus_trifoliatus	1.033	2.51948592306197	1.164
Rhinolophus_yunnanensis	1.21	2.61598611233896	1.371
Rhinonicteris_aurantia	0.864	2.36980993185743	0.934
Rhinophylla_pumilio	1.104	2.52389337701925	0.949
Rhinopoma_hardwickii	0.986	2.41517493551946	1.111
Rhinopoma_microphyllum	1.143	2.56167523073907	1.468
Rhogeessa_parvula	0.537	2.02540404611476	0.653
Rhynchonycteris_naso	0.479	2.04732050651951	0.58
Saccopteryx_bilineata	0.952	2.33483311530367	0.924
Saccopteryx_canescens	0.611	2.08934484317686	0.531
Saccopteryx_leptura	0.692	2.18322541361085	0.708
Scotomanes_ornatus	1.124	2.55494722650546	1.338
Scotophilus_dinganii	1.1	2.6152095371468	1.386
Scotophilus_kuhlii	0.989	2.50605597481635	1.31
Sphaeronycteris_toxophyllum	1.312	2.69540272673135	1.265
Sturnira_lilium	1.365	2.7664442150746	1.305
Sturnira_ludovici	1.386	2.79971581818209	1.413
Sturnira_tildae	1.444	2.82056767486967	1.387
Tadarida_aegyptiaca	1.134	2.56759514736225	1.248
Taphozous_australis	1.246	2.68911434548403	1.38
Taphozous_hildegardeae	1.204	2.71134274302204	1.438
Taphozous_mauritianus	1.255	2.71797961523504	1.462
Taphozous_melanopogon	1.21	2.70480831622297	1.356
Tonatia_bidens	1.35	2.87212442061372	1.468
Lophostoma_schulzi	1.004	2.67681030271887	1.328
Trachops_cirrhosus	1.453	2.97719852358353	1.567
Triaenops_persicus	0.823	2.41026109600416	1.137
Tylonycteris_pachypus	0.36	1.87843900376487	0.681
Tylonycteris_robustula	0.556	2.03440793493338	0.857
Uroderma_bilobatum	1.453	2.76341624316696	1.21
Vampyressa_pusilla	1.173	2.55572901399533	0.934
Vampyrum_spectrum	1.816	3.38883839645361	2.238
Alouatta_seniculus	2.708	4.69064476860801	3.806
Aotus_trivirgatus	2.386	4.20956514451613	2.919
Ateles_geoffroyi	2.865	5.00423671459412	3.903
Avahi_laniger	2.382	3.99079117597203	3.109
Plecturocebus_moloch	2.369	4.24999973790912	2.954
Callimico_goeldii	2.14	4.02141427425862	2.681
Callithrix_jacchus	1.954	3.86010428447601	2.447
Cebuella_pygmaea	1.913	3.63358773263483	2.146
Cebus_albifrons	2.591	4.8258408678735	3.491
Cercopithecus_ascanius	2.841	4.80297404128273	3.531
Cercopithecus_mitis_mitis	2.79	4.84835244065239	3.799
Cheirogaleus_major	2.173	3.80396492768725	2.653
Cheirogaleus_medius	1.815	3.4708780230274	2.248
Daubentonia_madagascariensis	3.019	4.6294722319675	3.447
Erythrocebus_patas	2.841	5.01330305301563	3.892
Eulemur_fulvus_fulvus	2.625	4.34468914865517	3.146
Galago_senegalensis	2.029	3.65384583826705	2.27
Galagoides_demidoff	1.777	3.50526524207999	1.908
Gorilla_gorilla	3.436	5.67214160105073	5.021
Homo_sapiens	3.788	6.09769523952942	4.813
Hylobates_lar	3.055	4.98887970833346	3.756
Indri_indri	2.928	4.55944787748954	3.796
Lagothrix_lagotricha	2.833	4.980177796679	3.716
Lepilemur_mustelinus	2.288	3.85550540645094	2.961
Lophocebus_albigena	2.799	4.9893093148895	3.898
Loris_tardigradus_tardigradus	1.999	3.79701647977618	2.508
Macaca_mulatta	2.806	4.94427327976376	3.892
Microcebus_murinus	1.603	3.22499777943092	1.732
Miopithecus_talapoin	2.413	4.57720824492106	3.079
Nasalis_larvatus	2.932	4.97211427746941	4.146
Nycticebus_coucang	2.326	4.07016900764897	2.903
Otolemur_crassicaudatus	2.258	3.98509131950917	2.929
Pan_troglodytes	3.305	5.58232825551133	4.663
Papio_cynocephalus	3.117	5.28121407692444	4.398
Perodicticus_potto	2.516	4.12079897970986	3.061
Pithecia_monachus	2.461	4.51688705271499	3.176
Piliocolobus_badius	2.911	4.86832778778568	3.845
Propithecus_verreauxi	2.646	4.40135338583513	3.542
Pygathrix_nemaeus	2.859	4.86047259819674	3.875
Saguinus_midas	2.079	3.98108200720884	2.531
Saguinus_oedipus	2.029	3.97903342592802	2.58
Saimiri_sciureus_sciureus	2.225	4.35321967494396	2.82
Tarsius_tarsier	1.839	3.53020840861181	2.097
Varecia_variegata	2.784	4.47260429620756	3.477
